,Rank,Release Year,Movie,Worldwide Box Office,Domestic Box Office,International Box Office
5,925,2016,The Divergent Series: Allegiant,"$172,022,517","$66,184,051","$105,838,466"
6,926,2010,Jackass 3D,"$171,685,793","$117,229,692","$54,456,101"
7,927,2006,Blood Diamond,"$171,377,916","$57,377,916","$114,000,000"
8,928,2017,John Wick: Chapter Two,"$171,350,009","$92,029,184","$79,320,825"
9,929,2008,Cloverfield,"$171,302,226","$80,048,433","$91,253,793"
10,930,2002,Mr. Deeds,"$171,269,535","$126,293,452","$44,976,083"
11,931,2010,The Other Guys,"$170,936,470","$119,219,978","$51,716,492"
12,932,2018,The Mule,"$170,857,676","$103,804,407","$67,053,269"
13,933,2011,Zookeeper,"$170,805,525","$80,360,866","$90,444,659"
14,934,2007,Meet the Robinsons,"$170,552,719","$97,822,171","$72,730,548"
15,935,2012,Magic Mike,"$170,549,753","$113,721,571","$56,828,182"
16,936,2012,Looper,"$170,466,405","$66,486,205","$103,980,200"
17,937,2018,The Nutcracker and the Four Realms,"$170,293,899","$54,858,851","$115,435,048"
18,938,2004,Starsky & Hutch,"$170,200,225","$88,200,225","$82,000,000"
19,939,2012,Shi Er Sheng Xiao,"$169,994,606",$0,"$169,994,606"
20,940,2007,Superbad,"$169,955,142","$121,463,226","$48,491,916"
21,941,2015,Jian Bing Man,"$169,842,267",$0,"$169,842,267"
22,942,2012,The Impossible,"$169,590,606","$19,019,882","$150,570,724"
23,943,1997,The Saint,"$169,400,000","$61,363,304","$108,036,696"
24,944,2000,The Emperor's New Groove,"$169,296,573","$89,296,573","$80,000,000"
25,945,2009,Hannah Montana the Movie,"$169,173,206","$79,576,189","$89,597,017"
26,946,2016,Hacksaw Ridge,"$168,904,682","$67,209,615","$101,695,067"
27,947,1995,12 Monkeys,"$168,841,459","$57,141,459","$111,700,000"
28,948,2008,Four Christmases,"$168,311,558","$120,146,040","$48,165,518"
29,949,2008,Burn After Reading,"$168,167,798","$60,355,347","$107,812,451"
30,950,2015,Focus,"$168,065,700","$53,862,963","$114,202,737"
31,951,2017,Ghost in the Shell,"$167,910,690","$40,563,557","$127,347,133"
32,952,2018,Insidious: The Last Key,"$167,885,588","$67,745,330","$100,140,258"
33,953,2003,Spy Kids 3-D: Game Over,"$167,851,995","$111,760,631","$56,091,364"
34,954,2015,Fantastic Four,"$167,849,187","$56,117,548","$111,731,639"
35,955,2014,Xi you ji: Da nao tian gong,"$167,840,000",$0,"$167,840,000"
36,956,2004,Dodgeball: A True Underdog Story,"$167,791,704","$114,326,736","$53,464,968"
37,957,1987,3 Men and a Baby,"$167,780,960","$167,780,960",$0
38,958,2004,Alexander,"$167,297,191","$34,297,191","$133,000,000"
39,959,2015,Xi you ji zhi da sheng gui lai,"$166,968,128",$0,"$166,968,128"
40,960,2009,Up in the Air,"$166,842,739","$83,823,381","$83,019,358"
41,961,2008,Seven Pounds,"$166,617,328","$69,951,824","$96,665,504"
42,962,2000,Nutty Professor II: The Klumps,"$166,307,945","$123,307,945","$43,000,000"
43,963,2002,Stuart Little 2,"$166,000,000","$64,956,806","$101,043,194"
44,964,1997,Contact,"$165,900,000","$100,920,329","$64,979,671"
45,965,2002,The Scorpion King,"$165,890,634","$90,580,000","$75,310,634"
46,966,2010,Step Up 3D,"$165,889,117","$42,400,223","$123,488,894"
47,967,2010,Unstoppable,"$165,720,921","$81,562,942","$84,157,979"
48,968,1996,Sleepers,"$165,600,852","$53,300,852","$112,300,000"
49,969,2012,Step Up Revolution,"$165,552,290","$35,074,677","$130,477,613"
50,970,2001,The Princess Diaries,"$165,334,774","$108,244,774","$57,090,000"
51,971,2003,Cold Mountain,"$165,173,909","$95,632,614","$69,541,295"
52,972,2016,The Huntsman: Winterâs War,"$165,149,302","$48,003,015","$117,146,287"
53,973,2011,In Time,"$165,103,952","$37,553,932","$127,550,020"
54,974,1999,Deep Blue Sea,"$165,048,228","$73,648,228","$91,400,000"
55,975,1998,"Six Days, Seven Nights","$164,800,000","$74,339,294","$90,460,706"
56,976,2003,Bringing Down the House,"$164,675,402","$132,675,402","$32,000,000"
57,977,2011,Johnny English Reborn,"$164,640,401","$8,406,711","$156,233,690"
58,978,2003,Daddy Day Care,"$164,285,587","$104,148,781","$60,136,806"
59,979,2007,No Country for Old Men,"$164,035,753","$74,273,505","$89,762,248"
60,980,2014,The Grand Budapest Hotel,"$163,981,261","$59,076,019","$104,905,242"
61,981,2006,Saw III,"$163,876,815","$80,238,724","$83,638,091"
62,982,2002,Maid in Manhattan,"$163,838,217","$93,932,896","$69,905,321"
63,983,2006,Miami Vice,"$163,818,556","$63,478,838","$100,339,718"
64,984,1999,Pokemon: The First Movie,"$163,644,662","$85,744,662","$77,900,000"
65,985,2014,Unbroken,"$163,527,824","$115,637,895","$47,889,929"
66,986,2006,World Trade Center,"$163,295,654","$70,278,893","$93,016,761"
67,987,2003,Johnny English,"$163,126,676","$28,013,509","$135,113,167"
68,988,2005,The Island,"$163,018,913","$35,818,913","$127,200,000"
69,989,2006,Talladega Nights: The Ballad of Ricky Bobby,"$162,870,525","$148,213,377","$14,657,148"
70,990,2008,The Spiderwick Chronicles,"$162,839,667","$71,195,053","$91,644,614"
71,991,2008,The Happening,"$162,778,384","$64,506,874","$98,271,510"
72,992,2005,The Interpreter,"$162,753,837","$72,708,161","$90,045,676"
73,993,1990,Dick Tracy,"$162,738,726","$103,738,726","$59,000,000"
74,994,2016,The Magnificent Seven,"$162,525,156","$93,432,655","$69,092,501"
75,995,2011,Midnight in Paris,"$162,502,774","$56,816,662","$105,686,112"
76,996,2015,Bridge of Spies,"$162,498,338","$72,313,754","$90,184,584"
77,997,2005,The Ring Two,"$161,941,727","$75,941,727","$86,000,000"
78,998,2013,Insidious Chapter 2,"$161,921,515","$83,586,447","$78,335,068"
79,999,2000,Scream 3,"$161,838,076","$89,138,076","$72,700,000"
80,"1,000",1973,Live and Let Die,"$161,800,000","$35,400,000","$126,400,000"
1,"1,001",1999,Payback,"$161,626,121","$81,526,121","$80,100,000"
2,"1,002",2005,Memoirs of a Geisha,"$161,510,853","$57,010,853","$104,500,000"
3,"1,003",2011,The Muppets,"$160,971,922","$88,625,922","$72,346,000"
4,"1,004",2013,Jackass Presents: Bad Grandpa,"$160,903,019","$102,003,019","$58,900,000"
5,"1,005",2003,Freaky Friday,"$160,822,438","$110,222,438","$50,600,000"
6,"1,006",1997,Alien: Resurrection,"$160,700,000","$47,795,018","$112,904,982"
7,"1,007",2001,America's Sweethearts,"$160,648,493","$93,607,673","$67,040,820"
8,"1,008",2012,Flight,"$160,558,438","$93,772,375","$66,786,063"
9,"1,009",1994,Legends of the Fall,"$160,502,573","$66,502,573","$94,000,000"
10,"1,010",2008,Hellboy II: The Golden Army,"$160,388,063","$75,986,503","$84,401,560"
11,"1,011",2012,Underworld: Awakening,"$160,379,930","$62,321,039","$98,058,891"
12,"1,012",2008,27 Dresses,"$160,247,805","$76,808,654","$83,439,151"
13,"1,013",2017,"Three Billboards Outside Ebbing, Missouri","$160,191,915","$54,513,740","$105,678,175"
14,"1,014",1983,Never Say Never Again,"$160,000,000","$55,500,000","$104,500,000"
15,"1,015",2016,Jack Reacher: Never Go Back,"$159,946,489","$58,697,076","$101,249,413"
16,"1,016",2008,21,"$159,846,429","$81,159,365","$78,687,064"
17,"1,017",1998,Stepmom,"$159,745,279","$91,137,662","$68,607,617"
18,"1,018",2001,Black Hawk Down,"$159,691,085","$108,638,745","$51,052,340"
19,"1,019",1973,The Sting,"$159,616,327","$159,616,327",$0
20,"1,020",2018,The Predator,"$159,487,563","$51,024,708","$108,462,855"
1,"1,021",2018,Johnny English Strikes Again,"$159,416,363","$4,412,170","$155,004,193"
2,"1,022",1995,Crimson Tide,"$159,387,195","$91,387,195","$68,000,000"
3,"1,023",1997,The Jackal,"$159,356,941","$54,956,941","$104,400,000"
4,"1,024",1992,Unforgiven,"$159,157,447","$101,157,447","$58,000,000"
5,"1,025",1993,Demolition Man,"$159,055,768","$58,055,768","$101,000,000"
6,"1,026",2016,Donât Breathe,"$158,973,685","$89,217,875","$69,755,810"
7,"1,027",2007,Norbit,"$158,973,607","$95,673,607","$63,300,000"
8,"1,028",2006,The Pink Panther,"$158,926,474","$82,226,474","$76,700,000"
9,"1,029",1996,Daylight,"$158,908,290","$32,908,290","$126,000,000"
10,"1,030",2015,Goosebumps,"$158,905,324","$80,069,458","$78,835,866"
11,"1,031",2010,The Book of Eli,"$158,750,817","$94,835,059","$63,915,758"
12,"1,032",2014,The Monuments Men,"$158,702,748","$78,031,620","$80,671,128"
13,"1,033",2005,Sin City,"$158,527,918","$74,103,820","$84,424,098"
14,"1,034",1992,Alien 3,"$158,500,000","$54,927,174","$103,572,826"
15,"1,035",2011,Happy Feet Two,"$157,956,466","$64,006,466","$93,950,000"
16,"1,036",2006,The Fast and the Furious: Tokyo Drift,"$157,794,205","$62,615,510","$95,178,695"
17,"1,037",1990,Days of Thunder,"$157,670,733","$82,670,733","$75,000,000"
18,"1,038",2015,Yip Man 3,"$157,300,954","$2,679,437","$154,621,517"
19,"1,039",2003,Lara Croft: Tomb Raider: The Cradle of Life,"$157,092,943","$65,653,758","$91,439,185"
20,"1,040",2012,This Means War,"$156,974,557","$54,760,791","$102,213,766"
21,"1,041",2003,Mystic River,"$156,822,020","$90,135,191","$66,686,829"
22,"1,042",2011,War Horse,"$156,815,529","$79,883,359","$76,932,170"
23,"1,043",1992,Under Siege,"$156,563,139","$83,563,139","$73,000,000"
24,"1,044",2014,Dumb and Dumber To,"$156,553,592","$86,208,010","$70,345,582"
25,"1,045",2014,Planes: Fire and Rescue,"$156,399,644","$59,157,732","$97,241,912"
26,"1,046",2006,Rocky Balboa,"$156,229,050","$70,269,899","$85,959,151"
27,"1,047",1989,Licence to Kill,"$156,167,015","$34,667,015","$121,500,000"
28,"1,048",2005,Monster-in-Law,"$155,931,301","$82,931,301","$73,000,000"
29,"1,049",2007,P.S. I Love You,"$155,769,678","$53,695,808","$102,073,870"
30,"1,050",2003,The Haunted Mansion,"$155,750,628","$75,817,994","$79,932,634"
31,"1,051",2006,Dreamgirls,"$155,708,695","$103,365,956","$52,342,739"
32,"1,052",2011,Limitless,"$155,564,919","$79,249,455","$76,315,464"
33,"1,053",2003,Scary Movie 3,"$155,200,000","$110,000,082","$45,199,918"
34,"1,054",1993,Cool Runnings,"$155,056,263","$68,856,263","$86,200,000"
35,"1,055",2011,Final Destination 5,"$155,011,165","$42,587,643","$112,423,522"
36,"1,056",2019,Escape Room,"$154,820,274","$57,000,756","$97,819,518"
37,"1,057",2002,Blade 2,"$154,338,601","$81,676,888","$72,661,713"
38,"1,058",2008,Beverly Hills Chihuahua,"$154,218,168","$94,514,402","$59,703,766"
39,"1,059",2004,The Phantom of the Opera,"$153,770,052","$51,225,796","$102,544,256"
40,"1,060",2014,Ride Along,"$153,733,800","$134,202,565","$19,531,235"
41,"1,061",1993,Free Willy,"$153,698,625","$77,698,625","$76,000,000"
42,"1,062",2004,Kill Bill: Volume 2,"$153,535,982","$66,207,920","$87,328,062"
43,"1,063",2007,Sweeney Todd: The Demon Barber of Fleet Street,"$153,329,844","$52,898,073","$100,431,771"
44,"1,064",1961,101 Dalmatians,"$153,301,581","$153,000,000","$301,581"
45,"1,065",2017,Cheng feng po lang,"$153,018,738","$469,706","$152,549,032"
46,"1,066",1997,Devil's Advocate,"$153,007,424","$61,007,424","$92,000,000"
47,"1,067",2016,The Accountant,"$152,962,083","$86,260,045","$66,702,038"
48,"1,068",2018,Bi Bei Shang Geng Bei Shang De Gu Shi,"$152,943,341","$722,669","$152,220,672"
49,"1,069",2005,Saw II,"$152,925,093","$87,025,093","$65,900,000"
50,"1,070",1990,Another 48 Hrs.,"$152,747,413","$80,047,413","$72,700,000"
51,"1,071",1985,A View to a Kill,"$152,627,960","$50,327,960","$102,300,000"
52,"1,072",2010,The Town,"$152,566,881","$92,186,262","$60,380,619"
53,"1,073",2000,Chocolat,"$152,500,343","$71,309,760","$81,190,583"
54,"1,074",1998,Antz,"$152,457,863","$90,757,863","$61,700,000"
55,"1,075",1991,Backdraft,"$152,368,585","$77,868,585","$74,500,000"
56,"1,076",2009,The Taking of Pelham 123,"$152,364,370","$65,452,312","$86,912,058"
57,"1,077",2010,Date Night,"$152,269,033","$98,711,404","$53,557,629"
58,"1,078",1996,A Time to Kill,"$152,266,007","$108,766,007","$43,500,000"
59,"1,079",1996,Phenomenon,"$152,036,382","$104,636,382","$47,400,000"
60,"1,080",1995,Congo,"$152,022,333","$81,022,333","$71,000,000"
61,"1,081",1996,Evita,"$151,947,179","$50,047,179","$101,900,000"
62,"1,082",2013,47 Ronin,"$151,716,815","$38,362,475","$113,354,340"
63,"1,083",1988,Big,"$151,668,774","$114,968,774","$36,700,000"
64,"1,084",2015,Pan,"$151,525,973","$35,088,320","$116,437,653"
65,"1,085",2012,Kari gurashi no Arietti,"$151,496,097","$19,192,510","$132,303,587"
66,"1,086",1999,The Bone Collector,"$151,463,090","$66,488,090","$84,975,000"
67,"1,087",2008,Vantage Point,"$150,886,329","$72,266,306","$78,620,023"
68,"1,088",2017,Darkest Hour,"$150,807,172","$56,443,120","$94,364,052"
69,"1,089",2013,Olympus Has Fallen,"$150,562,164","$98,927,592","$51,634,572"
70,"1,090",2011,Jack and Jill,"$150,519,217","$74,158,157","$76,361,060"
71,"1,091",1997,Speed 2: Cruise Control,"$150,468,000","$48,097,081","$102,370,919"
72,"1,092",2014,Into the Storm,"$150,429,371","$47,602,194","$102,827,177"
73,"1,093",2011,Tower Heist,"$150,422,946","$78,046,570","$72,376,376"
74,"1,094",1999,Mononoke-hime,"$150,350,000","$2,374,107","$147,975,893"
75,"1,095",1996,Star Trek: First Contact,"$150,000,000","$92,027,888","$57,972,112"
76,"1,096",2007,Resident Evil: Extinction,"$149,871,103","$50,648,679","$99,222,424"
77,"1,097",2013,Lone Survivor,"$149,804,632","$125,095,601","$24,709,031"
78,"1,098",2011,Arthur Christmas,"$149,717,124","$46,462,469","$103,254,655"
79,"1,099",1999,The General's Daughter,"$149,705,852","$102,705,852","$47,000,000"
80,"1,100",2016,Lion,"$149,570,720","$51,739,495","$97,831,225"
1,"1,101",2000,"Me, Myself & Irene","$149,270,999","$90,570,999","$58,700,000"
2,"1,102",2011,No Strings Attached,"$149,228,078","$70,662,220","$78,565,858"
3,"1,103",2012,Ghost Rider: Spirit of Vengeance,"$149,217,355","$51,774,002","$97,443,353"
4,"1,104",1992,Death Becomes Her,"$149,022,650","$58,422,650","$90,600,000"
5,"1,105",2016,Lights Out,"$148,806,510","$67,268,835","$81,537,675"
6,"1,106",2003,Seabiscuit,"$148,715,342","$120,277,854","$28,437,488"
7,"1,107",2008,Step Up 2 the Streets,"$148,586,910","$58,017,783","$90,569,127"
8,"1,108",1996,Broken Arrow,"$148,345,997","$70,645,997","$77,700,000"
9,"1,109",1984,Gremlins,"$148,199,515","$148,168,459","$31,056"
10,"1,110",2013,Mama,"$148,095,566","$71,628,180","$76,467,386"
11,"1,111",2006,Garfield: A Tail of Two Kitties,"$147,985,373","$28,426,747","$119,558,626"
12,"1,112",2015,The Hateful Eight,"$147,864,886","$54,117,416","$93,747,470"
13,"1,113",1996,Romeo+Juliet,"$147,542,381","$46,338,728","$101,203,653"
14,"1,114",2011,"Crazy, Stupid, Love","$147,142,328","$84,351,197","$62,791,131"
15,"1,115",2001,Swordfish,"$147,080,413","$69,772,969","$77,307,444"
16,"1,116",2014,Stand By Me Doraemon,"$147,000,000",$0,"$147,000,000"
17,"1,117",2011,New Yearâs Eve,"$146,850,273","$54,544,638","$92,305,635"
18,"1,118",2011,Friends with Benefits,"$146,595,891","$55,802,754","$90,793,137"
19,"1,119",2007,The Game Plan,"$146,590,987","$90,648,202","$55,942,785"
20,"1,120",2015,Gun dan ba! Zhong liu jun,"$146,486,639","$286,639","$146,200,000"
1,"1,121",2015,Du Cheng Feng Yun 2,"$146,203,224",$0,"$146,203,224"
2,"1,122",2007,Music and Lyrics,"$146,196,885","$50,572,589","$95,624,296"
3,"1,123",2011,I am Number Four,"$146,195,159","$55,100,437","$91,094,722"
4,"1,124",2016,Time Raiders,"$145,974,597",$0,"$145,974,597"
5,"1,125",2018,Red Sparrow,"$145,951,861","$46,874,505","$99,077,356"
6,"1,126",2007,Blades of Glory,"$145,594,548","$118,594,548","$27,000,000"
7,"1,127",2007,Surf's Up,"$145,395,745","$58,867,694","$86,528,051"
8,"1,128",2001,The Mexican,"$145,238,250","$66,808,615","$78,429,635"
9,"1,129",2005,The Exorcism of Emily Rose,"$144,529,078","$75,072,454","$69,456,624"
10,"1,130",2005,Herbie: Fully Loaded,"$144,110,682","$66,010,682","$78,100,000"
11,"1,131",2006,Charlotte's Web,"$143,985,708","$82,985,708","$61,000,000"
12,"1,132",2001,Spy Game,"$143,049,560","$62,362,560","$80,687,000"
13,"1,133",2012,Paranormal Activity 4,"$142,817,992","$53,900,335","$88,917,657"
14,"1,134",1997,Conspiracy Theory,"$142,783,718","$76,118,990","$66,664,728"
15,"1,135",2010,The Wolfman,"$142,634,358","$62,189,884","$80,444,474"
16,"1,136",2017,Power Rangers,"$142,531,552","$85,364,450","$57,167,102"
17,"1,137",2004,SpongeBob SquarePants: The Movie,"$142,051,255","$85,416,609","$56,634,646"
18,"1,138",2010,Dear John,"$142,033,509","$80,014,842","$62,018,667"
19,"1,139",1967,The Jungle Book,"$141,843,000","$141,843,000",$0
20,"1,140",2001,Legally Blonde,"$141,809,235","$96,493,426","$45,315,809"
21,"1,141",1978,National Lampoon's Animal House,"$141,600,000","$141,600,000",$0
22,"1,142",2013,RED 2,"$141,507,355","$53,262,560","$88,244,795"
23,"1,143",2003,Gothika,"$141,484,812","$59,588,068","$81,896,744"
24,"1,144",2005,The Legend of Zorro,"$141,475,336","$45,575,336","$95,900,000"
25,"1,145",2016,Sausage Party,"$141,344,255","$97,670,358","$43,673,897"
26,"1,146",2006,Monster House,"$141,267,370","$73,661,010","$67,606,360"
27,"1,147",1995,Bad Boys,"$141,247,413","$65,647,413","$75,600,000"
28,"1,148",2003,Mona Lisa Smile,"$141,205,169","$63,803,100","$77,402,069"
29,"1,149",1965,Thunderball,"$141,200,000","$63,600,000","$77,600,000"
30,"1,150",2001,Scary Movie 2,"$141,189,101","$71,277,420","$69,911,681"
31,"1,151",2015,Trainwreck,"$141,123,897","$110,212,700","$30,911,197"
32,"1,152",1997,The Devil's Own,"$140,900,000","$42,885,593","$98,014,407"
33,"1,153",1998,The Rugrats Movie,"$140,894,685","$100,494,685","$40,400,000"
34,"1,154",2017,Girls Trip,"$140,886,353","$115,108,515","$25,777,838"
35,"1,155",2017,The Foreigner,"$140,783,360","$34,393,507","$106,389,853"
36,"1,156",2011,Source Code,"$140,428,499","$54,712,227","$85,716,272"
37,"1,157",2003,The Jungle Book 2,"$140,122,225","$47,901,582","$92,220,643"
38,"1,158",1993,Sommersby,"$140,081,992","$50,081,992","$90,000,000"
39,"1,159",1973,American Graffiti,"$140,000,000","$115,000,000","$25,000,000"
40,"1,160",2011,The Three Musketeers,"$139,877,913","$20,377,913","$119,500,000"
41,"1,161",2014,Annie,"$139,829,625","$85,911,262","$53,918,363"
42,"1,162",1997,Anastasia,"$139,801,096","$58,403,409","$81,397,687"
43,"1,163",2010,Legend of the Guardians: The Owls of Ga'Hoole,"$139,716,717","$55,675,313","$84,041,404"
44,"1,164",1974,Towering Inferno,"$139,700,000","$116,000,000","$23,700,000"
45,"1,165",2017,King Arthur: Legend of the Sword,"$139,630,336","$39,175,066","$100,455,270"
46,"1,166",2009,17 Again,"$139,474,906","$64,167,069","$75,307,837"
47,"1,167",2015,Lao pao er,"$139,204,612","$1,414,696","$137,789,916"
48,"1,168",1988,Die Hard,"$139,109,346","$81,350,242","$57,759,104"
49,"1,169",1979,Star Trek: The Motion Picture,"$139,000,000","$82,258,456","$56,741,544"
50,"1,170",2016,Gods of Egypt,"$138,836,756","$31,153,464","$107,683,292"
51,"1,171",2009,BrÃ¼no,"$138,708,527","$60,054,530","$78,653,997"
52,"1,172",1990,Bird on a Wire,"$138,697,012","$70,978,012","$67,719,000"
53,"1,173",1995,Nine Months,"$138,486,431","$69,660,733","$68,825,698"
54,"1,174",2007,Bridge to Terabithia,"$137,984,788","$82,234,139","$55,750,649"
55,"1,175",1986,Platoon,"$137,978,395","$137,963,328","$15,067"
56,"1,176",2016,Peteâs Dragon,"$137,768,975","$76,233,151","$61,535,824"
57,"1,177",2011,Contagion,"$137,551,594","$75,658,097","$61,893,497"
58,"1,178",2012,Abraham Lincoln: Vampire Hunter,"$137,489,730","$37,519,139","$99,970,591"
59,"1,179",2010,Wall Street 2: Money Never Sleeps,"$137,431,619","$52,474,616","$84,957,003"
60,"1,180",1993,Last Action Hero,"$137,298,489","$50,016,394","$87,282,095"
61,"1,181",2006,Big Momma's House 2,"$137,047,376","$70,165,972","$66,881,404"
62,"1,182",2007,Stardust,"$137,022,245","$38,634,938","$98,387,307"
63,"1,183",1997,Anaconda,"$136,998,907","$65,598,907","$71,400,000"
64,"1,184",2014,Letâs Be Cops,"$136,890,774","$82,390,774","$54,500,000"
65,"1,185",2018,How Long Will I Love U,"$136,747,862","$746,933","$136,000,929"
66,"1,186",2000,Remember the Titans,"$136,706,683","$115,654,751","$21,051,932"
67,"1,187",2018,The First Purge,"$136,617,305","$69,488,745","$67,128,560"
68,"1,188",1970,Love Story,"$136,397,186","$106,397,186","$30,000,000"
69,"1,189",2012,The Pirates! Band of Misfits,"$136,143,605","$31,051,126","$105,092,479"
70,"1,190",2011,Unknown,"$136,123,083","$63,686,397","$72,436,686"
71,"1,191",1998,Lost In Space,"$136,047,317","$69,117,629","$66,929,688"
72,"1,192",2010,The Bounty Hunter,"$135,808,837","$67,061,228","$68,747,609"
73,"1,193",2007,Saw IV,"$135,759,694","$63,300,095","$72,459,599"
74,"1,194",2017,American Made,"$135,569,212","$51,342,000","$84,227,212"
75,"1,195",2005,Cheaper by the Dozen 2,"$135,015,330","$82,571,173","$52,444,157"
76,"1,196",1995,Sense and Sensibility,"$134,993,774","$42,993,774","$92,000,000"
77,"1,197",2012,The Best Exotic Marigold Hotel,"$134,639,780","$46,383,639","$88,256,141"
78,"1,198",2012,Zero Dark Thirty,"$134,612,435","$95,720,716","$38,891,719"
79,"1,199",2000,Pokemon 2000,"$133,946,923","$43,746,923","$90,200,000"
80,"1,200",2003,The Cat in the Hat,"$133,818,283","$101,018,283","$32,800,000"
1,"1,201",2010,Saw 3D,"$133,735,284","$45,710,178","$88,025,106"
2,"1,202",2006,Perfume: The Story of a Murderer,"$133,603,463","$2,223,293","$131,380,170"
3,"1,203",2014,Myeong-ryang,"$133,450,917","$2,830,989","$130,619,928"
4,"1,204",1993,Hot Shots! Part Deux,"$133,448,689","$38,618,836","$94,829,853"
5,"1,205",2018,A Wrinkle in Time,"$133,401,882","$100,478,608","$32,923,274"
6,"1,206",2005,La marche de l'empereur,"$133,276,359","$77,437,223","$55,839,136"
7,"1,207",2015,The Big Short,"$133,162,752","$70,259,870","$62,902,882"
8,"1,208",2012,Hope Springs,"$133,085,295","$63,536,011","$69,549,284"
9,"1,209",1986,Star Trek IV: The Voyage Home,"$133,000,000","$109,713,132","$23,286,868"
10,"1,210",2008,AstÃ©rix aux Jeux Olympiques,"$132,999,811","$999,811","$132,000,000"
11,"1,211",2013,2 Guns,"$132,493,015","$75,612,460","$56,880,555"
12,"1,212",1992,A League of Their Own,"$132,440,066","$107,533,925","$24,906,141"
13,"1,213",2006,Babel,"$132,121,212","$34,302,837","$97,818,375"
14,"1,214",2003,School of Rock,"$131,944,672","$81,261,177","$50,683,495"
15,"1,215",2005,Munich,"$131,492,772","$47,379,090","$84,113,682"
16,"1,216",1997,Seven Years in Tibet,"$131,445,884","$37,945,884","$93,500,000"
17,"1,217",2014,Jack Ryan: Shadow Recruit,"$131,377,412","$50,577,412","$80,800,000"
18,"1,218",2004,Blade: Trinity,"$131,353,165","$52,397,389","$78,955,776"
19,"1,219",2007,1408,"$131,263,370","$71,985,628","$59,277,742"
20,"1,220",1998,Blade,"$131,237,688","$70,141,876","$61,095,812"
1,"1,221",2016,Skiptrace,"$131,202,537","$1,792","$131,200,745"
2,"1,222",2009,Law Abiding Citizen,"$131,159,781","$73,357,727","$57,802,054"
3,"1,223",2005,Bewitched,"$131,159,306","$63,313,159","$67,846,147"
4,"1,224",1992,Boomerang,"$131,052,444","$70,052,444","$61,000,000"
5,"1,225",1994,Wolf,"$131,011,757","$65,011,757","$66,000,000"
6,"1,226",2004,Man on Fire,"$130,968,579","$77,906,816","$53,061,763"
7,"1,227",2004,Mean Girls,"$130,953,026","$86,047,227","$44,905,799"
8,"1,228",2015,The Last Witch Hunter,"$130,818,912","$27,367,660","$103,451,252"
9,"1,229",2002,About a Boy,"$130,759,651","$40,803,000","$89,956,651"
10,"1,230",2012,Cloud Atlas,"$130,673,154","$27,108,272","$103,564,882"
11,"1,231",2006,"You, Me and Dupree","$130,402,010","$75,802,010","$54,600,000"
12,"1,232",2006,V for Vendetta,"$130,214,162","$70,511,035","$59,703,127"
13,"1,233",1996,Jingle All the Way,"$129,832,389","$60,592,389","$69,240,000"
14,"1,234",1982,An Officer and a Gentleman,"$129,795,554","$129,795,554",$0
15,"1,235",2007,Atonement,"$129,779,728","$50,980,159","$78,799,569"
16,"1,236",2010,The Fighter,"$129,262,388","$93,617,009","$35,645,379"
17,"1,237",2008,The Forbidden Kingdom,"$129,075,270","$52,075,270","$77,000,000"
18,"1,238",2012,The Woman in Black,"$128,955,898","$54,333,290","$74,622,608"
19,"1,239",2006,The Queen,"$128,885,873","$56,441,711","$72,444,162"
20,"1,240",2007,Aliens vs. Predator - Requiem,"$128,884,494","$41,797,066","$87,087,428"
21,"1,241",2000,Space Cowboys,"$128,874,043","$90,454,043","$38,420,000"
22,"1,242",1999,The Talented Mr. Ripley,"$128,792,135","$81,292,135","$47,500,000"
23,"1,243",2006,Nanny McPhee,"$128,745,578","$47,279,279","$81,466,299"
24,"1,244",2017,Secret Superstar,"$128,649,838",$0,"$128,649,838"
25,"1,245",2008,Step Brothers,"$128,468,793","$100,468,793","$28,000,000"
26,"1,246",2006,Failure to Launch,"$128,402,901","$88,715,192","$39,687,709"
27,"1,247",2011,The Artist,"$128,256,712","$44,667,095","$83,589,617"
28,"1,248",2014,Blended,"$127,990,741","$46,290,741","$81,700,000"
29,"1,249",1998,Everest,"$127,990,128","$87,178,599","$40,811,529"
30,"1,250",2013,Ender's Game,"$127,983,283","$61,737,191","$66,246,092"
31,"1,251",1992,Forever Young,"$127,942,530","$55,942,530","$72,000,000"
32,"1,252",2007,The Heartbreak Kid,"$127,768,790","$36,787,257","$90,981,533"
33,"1,253",1982,Gandhi,"$127,767,889","$52,767,889","$75,000,000"
34,"1,254",2017,A Bad Moms Christmas,"$127,710,550","$72,110,659","$55,599,891"
35,"1,255",2000,U-571,"$127,630,030","$77,086,030","$50,544,000"
36,"1,256",1995,First Knight,"$127,361,412","$37,361,412","$90,000,000"
37,"1,257",2010,Predators,"$127,234,389","$52,000,688","$75,233,701"
38,"1,258",2011,The Adjustment Bureau,"$126,931,325","$62,495,645","$64,435,680"
39,"1,259",1977,Smokey and the Bandit,"$126,737,428","$126,737,428",$0
40,"1,260",2015,Point Break,"$126,704,591","$28,782,481","$97,922,110"
41,"1,261",2009,Julie & Julia,"$126,646,119","$94,125,426","$32,520,693"
42,"1,262",2017,Captain Underpants: The First Epic Movie,"$126,577,874","$73,921,000","$52,656,874"
43,"1,263",2005,Pride & Prejudice,"$126,549,607","$38,372,662","$88,176,945"
44,"1,264",2013,This is the End,"$126,539,117","$101,470,202","$25,068,915"
